name,population,strength
united states,132000000,99999
soviet union,171000000,43299
german reich,79000000,39400
british empire,112000000,31230
french republic,110000000,26100
republic of china,510000000,8312
empire of japan,105000000,11230
kingdom of italy,51000000,8712
british raj,389000000,6000
canada,11300000,4500
australia,6900000,2300
new zealand,1600000,900
south africa,10000000,2500
republic of poland,35100000,6500
spanish state,26000000,4300
republic of turkey,17800000,3800
kingdom of the netherlands,70000000,4600
kingdom of belgium,19000000,3500
kingdom of romania,20000000,4200
kingdom of yugoslavia,15500000,3700
kingdom of hungary,9100000,2400
kingdom of greece,7200000,2000
kingdom of bulgaria,6300000,1900
kingdom of sweden,6300000,2900
swiss confederation,4200000,3200
republic of finland,3700000,1700
kingdom of norway,2950000,1300
kingdom of denmark,3800000,1700
united states of brazil,41000000,5000
argentine republic,14000000,3800
mexico,19500000,3400
iran,15000000,2200
thailand,15500000,1200
manchurian empire,38000000,2200
portuguese republic,15000000,2100
ireland,2950000,1100
republic of chile,5000000,1600
republic of peru,7000000,1200
republic of colombia,9000000,1250
united states of venezuela,3600000,900
republic of cuba,4300000,850
kingdom of iraq,3700000,650
kingdom of saudi arabia,3000000,380
kingdom of afghanistan,8000000,750
republic of estonia,1130000,450
republic of latvia,1950000,620
republic of lithuania,2900000,720
mongolian people's republic,800000,350
republic of bolivia,3000000,700
